DATE,TATASTEEL
01-11-2011,646.55
02-11-2011,595.3
03-11-2011,581.3
04-11-2011,624.95
05-11-2011,594.2
07-11-2011,587.8
08-11-2011,484.4
10-11-2011,433.55
11-11-2011,429.85
14-11-2011,412.5
15-11-2011,400.45
16-11-2011,405.95
17-11-2011,400.1
18-11-2011,391.4
21-11-2011,379.7
22-11-2011,391.7
23-11-2011,382.65
24-11-2011,385.6
25-11-2011,374.95
28-11-2011,386.95
29-11-2011,387.15
30-11-2011,385.2
01-12-2011,648.9
05-12-2011,584.7
07-12-2011,572
08-12-2011,474.95
09-12-2011,454.85
10-12-2011,444.1
12-12-2011,385.45
13-12-2011,392.6
14-12-2011,375.75
15-12-2011,375.25
16-12-2011,364.95
19-12-2011,363.6
20-12-2011,342.75
21-12-2011,349.45
22-12-2011,353.9
23-12-2011,347.3
26-12-2011,357.65
27-12-2011,349.15
28-12-2011,346.85
29-12-2011,341.9
30-12-2011,335.35
02-01-2012,470.95
03-01-2012,462.8
06-01-2012,397.9
08-01-2012,409.55
10-01-2012,398.95
11-01-2012,397.45
13-01-2012,415.7
16-01-2012,421.75
17-01-2012,442.75
18-01-2012,424.9
19-01-2012,435.85
20-01-2012,436.55
23-01-2012,426.55
24-01-2012,432.35
25-01-2012,444.85
27-01-2012,458.75
30-01-2012,442.3
31-01-2012,450.8
01-02-2012,341.1
02-02-2012,475.9
03-02-2012,465.9
04-02-2012,471.75
05-02-2012,461.85
07-02-2012,446.95
08-02-2012,405.95
11-02-2012,402.35
13-02-2012,485.2
14-02-2012,487.95
15-02-2012,495.15
16-02-2012,479.1
17-02-2012,478
21-02-2012,491.5
22-02-2012,470.5
23-02-2012,471.4
24-02-2012,475.5
27-02-2012,442.4
28-02-2012,459.8
29-02-2012,472.55
01-03-2012,361.85
02-03-2012,467.5
03-03-2012,467.6
04-03-2012,478.2
05-03-2012,448.1
07-03-2012,446.35
08-03-2012,397
09-03-2012,358
10-03-2012,403.8
12-03-2012,390.7
13-03-2012,468.1
14-03-2012,460.85
15-03-2012,462.75
16-03-2012,454.6
19-03-2012,448.2
20-03-2012,454.8
21-03-2012,472.4
22-03-2012,449.9
23-03-2012,448.5
26-03-2012,440.15
27-03-2012,447
28-03-2012,455.1
29-03-2012,453.1
30-03-2012,471.75
01-04-2012,363.95
04-04-2012,475.55
05-04-2012,432.5
06-04-2012,404
07-04-2012,451.8
09-04-2012,363.7
10-04-2012,409
12-04-2012,390.15
13-04-2012,449.8
16-04-2012,455.15
17-04-2012,461.55
18-04-2012,465.2
19-04-2012,467.15
20-04-2012,470.3
23-04-2012,462.85
24-04-2012,470.25
25-04-2012,465.5
26-04-2012,466.8
27-04-2012,461.15
28-04-2012,463.25
30-04-2012,463.65
01-05-2012,362.6
03-05-2012,450.7
06-05-2012,398
07-05-2012,451.6
09-05-2012,349.9
10-05-2012,410.55
11-05-2012,397.65
12-05-2012,398.2
14-05-2012,408.2
15-05-2012,418.15
16-05-2012,400.6
17-05-2012,405.85
18-05-2012,399.95
21-05-2012,402.75
22-05-2012,399.3
23-05-2012,396.25
24-05-2012,398.65
25-05-2012,408.6
28-05-2012,411.85
29-05-2012,415.8
30-05-2012,410.3
31-05-2012,403.65
01-06-2012,363.65
02-06-2012,467.25
03-06-2012,424.95
06-06-2012,410
07-06-2012,448.25
08-06-2012,404.3
09-06-2012,351.25
11-06-2012,398.95
12-06-2012,399.8
13-06-2012,411.95
14-06-2012,406.95
15-06-2012,414.55
18-06-2012,419.75
19-06-2012,420.25
20-06-2012,426.8
21-06-2012,430.15
22-06-2012,418.6
25-06-2012,414.65
26-06-2012,410.5
27-06-2012,420.7
28-06-2012,429.05
29-06-2012,441.45
01-07-2012,362.75
02-07-2012,451.35
03-07-2012,423.8
05-07-2012,441.6
06-07-2012,411.1
08-07-2012,406.15
09-07-2012,370.9
11-07-2012,401.95
12-07-2012,394.25
13-07-2012,425
16-07-2012,407.95
17-07-2012,405.8
18-07-2012,411.65
19-07-2012,414.45
20-07-2012,415.95
23-07-2012,399.5
24-07-2012,396.85
25-07-2012,386.5
26-07-2012,384
27-07-2012,399.15
30-07-2012,410.35
31-07-2012,414.45
02-08-2012,450.65
05-08-2012,427.2
06-08-2012,410.4
08-08-2012,408.05
09-08-2012,373.85
10-08-2012,407.65
11-08-2012,403.95
13-08-2012,395.45
14-08-2012,406.1
16-08-2012,398.25
17-08-2012,394.8
21-08-2012,392.1
22-08-2012,392.55
23-08-2012,398.55
24-08-2012,387.8
27-08-2012,385.65
28-08-2012,378.2
29-08-2012,374.4
30-08-2012,365.9
31-08-2012,361.4
01-09-2012,361.75
02-09-2012,452.15
03-09-2012,455.2
04-09-2012,459.75
05-09-2012,417.45
07-09-2012,437.6
08-09-2012,406.3
10-09-2012,412.05
11-09-2012,390.55
13-09-2012,387.6
14-09-2012,405
17-09-2012,409.95
18-09-2012,405.3
20-09-2012,393.1
21-09-2012,409.35
24-09-2012,406.7
25-09-2012,400.35
26-09-2012,396.2
27-09-2012,396.3
28-09-2012,400.9
01-10-2012,371.75
02-10-2012,475.05
04-10-2012,452.8
05-10-2012,415.6
07-10-2012,438.8
08-10-2012,400.1
09-10-2012,380.05
10-10-2012,411.6
12-10-2012,400.3
15-10-2012,418.9
16-10-2012,409.1
17-10-2012,407.2
18-10-2012,411.75
19-10-2012,407.45
22-10-2012,407.85
23-10-2012,404.4
25-10-2012,398.8
26-10-2012,399.8
29-10-2012,402.05
30-10-2012,393.05
31-10-2012,392.2
01-11-2012,383
04-11-2012,446.35
05-11-2012,412
06-11-2012,409.9
07-11-2012,436
09-11-2012,376.95
10-11-2012,420.25
12-11-2012,396.1
13-11-2012,385.9
15-11-2012,375.4
16-11-2012,370.1
19-11-2012,363.5
20-11-2012,360.55
21-11-2012,364.75
22-11-2012,365.95
23-11-2012,364.85
26-11-2012,371.85
27-11-2012,375.95
29-11-2012,376.8
30-11-2012,386.2
01-12-2012,388.85
03-12-2012,456.4
04-12-2012,453.3
06-12-2012,412.9
07-12-2012,428.5
09-12-2012,387.15
10-12-2012,420.95
11-12-2012,384.1
12-12-2012,395.45
13-12-2012,388.65
14-12-2012,397
17-12-2012,399.05
18-12-2012,414.3
19-12-2012,424.1
20-12-2012,431.6
21-12-2012,430.7
24-12-2012,428.6
26-12-2012,429.9
27-12-2012,430.75
28-12-2012,428.55
31-12-2012,428.5
01-01-2013,438.2
02-01-2013,400.85
03-01-2013,341.1
04-01-2013,314.7
07-01-2013,280.7
08-01-2013,210.15
10-01-2013,275.75
11-01-2013,336.15
14-01-2013,423.8
15-01-2013,424.8
16-01-2013,414.95
17-01-2013,418.7
18-01-2013,415
21-01-2013,414.1
22-01-2013,408.7
23-01-2013,407.55
24-01-2013,404.5
25-01-2013,406.75
28-01-2013,405.65
29-01-2013,399
30-01-2013,406.25
31-01-2013,404.9
01-02-2013,438.15
04-02-2013,319.7
05-02-2013,304.6
07-02-2013,281.95
08-02-2013,202.35
09-02-2013,289.4
12-02-2013,408.3
13-02-2013,376
14-02-2013,380.9
15-02-2013,376.1
18-02-2013,385.25
19-02-2013,386.7
20-02-2013,379.25
21-02-2013,363.9
22-02-2013,364.5
25-02-2013,360.7
26-02-2013,349.45
27-02-2013,357.1
28-02-2013,341.5
01-03-2013,442.3
04-03-2013,316.85
05-03-2013,311.2
06-03-2013,296.5
07-03-2013,269.55
09-03-2013,281.3
10-03-2013,285.85
11-03-2013,338.85
12-03-2013,409.8
13-03-2013,352.1
14-03-2013,357.1
15-03-2013,354.45
18-03-2013,349.3
19-03-2013,339.7
20-03-2013,334.75
21-03-2013,327.85
22-03-2013,321.85
25-03-2013,314.4
26-03-2013,306.55
28-03-2013,312.85
01-04-2013,433.5
02-04-2013,395.05
03-04-2013,334.7
04-04-2013,304.35
06-04-2013,298.75
07-04-2013,264.8
09-04-2013,289.9
10-04-2013,288.45
12-04-2013,413.95
15-04-2013,294.45
16-04-2013,298.35
17-04-2013,297.05
18-04-2013,299.8
22-04-2013,306.7
23-04-2013,309.1
25-04-2013,312.55
26-04-2013,305.05
29-04-2013,302.45
30-04-2013,302.75
02-05-2013,394.75
03-05-2013,344.15
04-05-2013,309.2
06-05-2013,299.1
07-05-2013,264.7
08-05-2013,207.9
09-05-2013,288.65
11-05-2013,338.95
12-05-2013,421.4
